eid;per
745020;Μηχανικοί εφαρμοστές συντηρητές και επισκευαστές ηλεκτρονικών υπολογιστών
745030;Τεχνικοί ραδιοφωνικών και τηλεοπτικών σταθμών που απασχολούνται στη συντήρηση κεραιών και εικονολήπτες εξωτερικοί με φορητές κάμερες
746000;Εγκαταστάτες και συντηρητές τηλεγραφικού και τηλεφωνικού εξοπλισμού
747010;Ηλεκτρολόγοι εργατοτεχνίτες,συναρμολογητές,εγκαταστάτες,επισκευαστές εναερίων, υπόγειων  γραμμών μεταφοράς ηλεκτρικού ρεύματος καθώς και των σταθμών, υποσταθμών ηλεκτρικής ενέργειας
747020;Τοποθετητές - συντηρητές εναέριων και υπογείων δικτύων μεταφοράς ηλεκτρικής ενέργειας υψηλής τάσης (Ανω των 66000 VOLT)
751000;Κατασκευαστές και επισκευαστές ρολογιών και οργάνων ακρίβειας
751010;Κατασκευαστές-Επισκευαστές ορθοπεδικών εφαρμογών (τεχνητά μέλη, στηρίγματα σώματος κλπ. ). Τεχνητών οδοντοστοιχιών,Οδοντοτεχνίτες
751020;Χειρουργικών οργάνων και συσκευών, κατασκευαστές και επισκευαστές
752000;Κατασκευαστές και χορδιστές μουσικών οργάνων
753000;Κοσμηματοποιοί και τεχνίτες πολύτιμων μετάλλων
753010;Κατασκευαστές,Συναρμολογητές απομιμήσεων κοσμημάτων
754100;Αγγειοπλάστες πλινθοκεραμουργοί κατασκευαστές λειαντικών τροχών και ασκούντες συναφηή επαγγέλματα
754110;Χύτες λειαντικών τροχών (με χειροκίνητα εργαλεία και μηχανές)
754120;Εργατοτεχνίτες κεραμουργίας υδρορρυθμιστές, ψήστες, καμινευτές, διπλωτές κεράμων, ζυγιστές πυρίμαχων, οξύμαχων, εκκαμινευτές, τυποποιοί πινάκων, μηχανών κατασκευής πυρίμαχων σωλήνων, τριβείου, πρεσαδόροι, καθαρισμού και κλεισίματος θυρών κλιβάνων, τεχνητών ξεραντηρίων, ανθρακείς, εμβαπτιστές γαλλικών κεράμων, διαλογής, τροφοδότες, κόπτες, λήπτες, καθαριστές, τουμπαριστές, μεταφορείς χειραμαξίων, βαγονιέριδες, μεταφορείς λάσπης, στιβαδόροι, βελονιστές σκαφείς (τσαπανιστές), υγράς κατεργασίας πηλού και πισσαδόροι καθαριστές ξηραμένων γαλλικών κεράμων, ψαλιδιστές, βελονιστές, φυσικών ξηραντηρίων
754200;Τεχνίτες γυαλιού,κόπτες,λειαντές και φινιριστές
754210;Διαλογείς υαλουργίας,Διαλογείς αντικειμένων από γυαλί προς ανακύκλωση
754220;Εργατοτεχνίτες, παγκαδώρος, πρεσσαδόρος, φεγγαδόρος, συλετσής, φυσιτής, φουσκαδόρος, παντελαδόρος φυσητής σίλλερ, καδρονιστής και κόπτες υάλου
754300;Χαράκτες - διακοσμητές ειδών από γυαλί
754400;Βαφείς - διακοσμητές γυαλιού, κεραμικών και συναφών υλικών
754410;Βαφείς διακοσμητές γυαλιού κεραμικών και συναφών υλικών                                                                                                                              ( εντός χώρου παραγωγής )
754420;Βαφείς διακοσμητές γυαλιού κεραμικών και συναφών υλικών ( εκτός χώρου παραγωγής )
754430;Επισμαλτωτές μεταλλικών ειδών με εμβάπτιση, πιστολέτο κλπ.
755110;Ξύλινων μικροαντικειμένων, κατασκευαστές και χειροτέχνες Καλαθοποιίας και καλαμοπλεκτικής, χειροτέχνεςΠλεκτών ειδών από φυτικές ύλες (λύγου, καλάμου κλπ.), ειδών από φελό κατασκευαστές
755120;Κηροπλάστες με παραδοσιακές μεθόδους
755210;Κατασκευαστές δερμάτινων εξαρτημάτων ένδυσης (με χειροκίνητα εργαλεία και μηχανές)
756110;Τυπογράφοι,στοιχειοθέτες.Λιθογράφοι.Λιθοτυπογράφοι.                   Λινοτύπες.Πιεστές.Σελιδοποιοί.ΣτοιχειοθέτεςΦωτοστοιχειοθέτες,                                                             Φωτοσυνθέτες (με χειροκίνητα εργαλεία και μηχανές) κλπ
756120;Τυπογράφοι,στοιχειοθέτες.Λιθογράφοι.Λιθοτυπογράφοι.        Λινοτύπες.Πιεστές.Σελιδοποιοί.Στοιχειοθέτες,Φωτοσυνθέτες             Φωτοστοιχειοθέτες, (με χειροκίνητα εργαλεία και μηχανές) κλπ                                    ( Τ.ΤΑΤ   Ν.2079/92 )
756130;Απασχολούμενοι αποκλειστικά στο φωτοτυπείο του Συγκροτήματος εργοστασίων Υμηττού της  ΠΥΡ - ΚΑΛ όπου λειτουργεί φωτοτυπικό μηχάνημα αναπαραγωγής μεγάλων σχεδίων από διαφανή πρότυπα με χρήση αμμωνίας
756140;Χειριστές φωτοτυπικών μηχανημάτων εκτύπωσης
756200;Στερεοτύπες και γαλβανοπλάστες κλισέ (τσιγγογράφοι)
756210;Στερεοτύπες και γαλβανοπλάστες κλισέ (τσιγγογράφοι)                                                                                     ( Τ.ΤΑΤ   Ν.2079/92 )
