kpk;per;pemployee;pcompany;ptotal;dfrom
004;ΠΑΛΑΙΟΙ ΑΣΦ/ΝΟΙ τ. ΙΟΝΙΚΗΣ-ΛΑΙΚΗΣ ΤΡΑΠΕΖΑΣ (τ. Τ.Α.Π.-Ι.Λ.Τ.) ΜΕ ΙΣΧΥ ΑΠΟ 1/1/2008 ΚΑΙ ΕΦΕΞΗΣ;6,67;13,33;20,00;1/6/2004
005;ΝΕΟΙ ΑΣΦ/ΝΟΙ τ. ΙΟΝΙΚΗΣ-ΛΑΙΚΗΣ ΤΡΑΠΕΖΑΣ (τ. Τ.Α.Π.-Ι.Λ.Τ.) ;8,32;14,74;23,06;1/1/2021
010;ΕΡΓΑΖΟΜΕΝΟΙ τ. ΑΓΡΟΤΙΚΗΣ ΤΡΑΠΕΖΑΣ (τ. ΑΤΕ) ΜΕ ΙΣΧΥ ΑΠΟ 1/1/2011 ΚΑΙ ΕΦΕΞΗΣ;6,67;13,33;20,00;1/11/2004
013;ΕΡΓ/ΜΕΝΟΙ ΓΕΩΡΓΙΚΩΝ ΣΥΝ/ΣΜΩΝ ΣΥΝ/ΣΤΙΚΩΝ ΟΡΓΑΝΩΣΕΩΝ (ΠΑΛΑΙΟΙ);6,67;13,33;20,00;1/1/2020
015;ΠΡΟΣΩΠΙΚΟ ΟΤΕ ΘΥΓΑΤΡΙΚΩΝ & ΛΟΙΠΩΝ ΕΤΑΙΡΕΙΩΝ, ΠΡΟΣΩΠΙΚΟ τ. ΤΑΠΟΤΕ ΠΑΛΑΙΟΙ & ΑΣΦΑΛ/ΝΤΑΙ ΣΤΟ ΤΑΠ-ΟΤΕ ΜΕΧΡΙ 31/7/08 (ΙΣΧΥΣ ΑΠΟ 1/8/08);6,67;13,33;20,00;1/1/2020
016;ΠΡΟΣΩΠΙΚΟ ΟΣΕ ΕΛΤΑ ΠΑΛΑΙΟΙ & ΑΣΦΑΛ/ΝΤΑΙ ΣΤΟ τ. ΤΑΠ-ΟΤΕ ΜΕΧΡΙ 31/7/08 (ΙΣΧΥΣ ΑΠΟ 1/8/08);6,67;13,33;20,00;1/1/2020
017;ΠΡΟΣΩΠΙΚΟ ΗΣΑΠ ΠΑΛΑΙΟΙ & ΑΣΦΑΛ/ΝΤΑΙ ΣΤΟ τ. ΤΣΠ-ΗΣΑΠ ΜΕΧΡΙ 31/7/08 (ΙΣΧΥΣ ΑΠΟ 1/8/08);6,67;13,33;20,00;1/1/2020
018;ΠΡΟΣΩΠΙΚΟ «Η ΕΘΝΙΚΗ» & ΑΣΦΑΛ/ΝΤΑΙ ΣΤΟ τ. ΤΑΠΑΕ-Ε ΜΕΧΡΙ 31/7/08 (ΙΣΧΥΣ ΑΠΟ 1/8/08);6,67;13,33;20,00;1/1/2020
020;ΑΣΦ/ΝΟΙ ΤΗΣ ΕΘΝΙΚΗΣ ΤΡΑΠΕΖΑΣ ΕΛΛΑΔΟΣ ΠΑΛΑΙΟΙ ΠΟΥ ΑΣΦΑΛ/ΝΤΑΙ ΣΤΟ τ. ΤΣΠ-ΕΤΕ ΜΕΧΡΙ 31/7/08 (ΙΣΧΥΣ ΑΠΟ 1/8/08);6,67;13,33;20,00;1/1/2020
021;ΠΡΟΣΩΠΙΚΟ ΕΤΒΑ ΠΑΛΑΙΟΙ ΠΟΥ ΑΣΦΑΛ/ΝΤΑΙ ΣΤΟ τ. ΤΑΠ-ΕΤΒΑ ΜΕΧΡΙ 31/7/08 (ΙΣΧΥΣ ΑΠΟ 1/8/08);6,67;13,33;20,00;1/1/2020
023;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟ ΤΟΜΕΑ ΠΡΟΝΟΙΑΣ ΞΕΝΟΔΟΧΟΥΠΑΛΛΗΛΩΝ ΤΟΥ τ. ΤΑΠΙΤ;2,00;2,00;4,00;1/12/2013
024;ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ τ. ΤΑ.Π.Ι.Τ. ΕΚΤΟΣ ΑΥΤΟΑΠΑΣΧΟΛΟΥΜΕΝΩΝ ΑΝΑΒΑΤΩΝ/ΠΡΟΠΟΝΗΤΩΝ ΙΠΠΟΔΡΟΜΙΩΝ;4,00;0,00;4,00;1/12/2013
